time_s,north_m,east_m,altitude_m,phase
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.377412497997283936e-02,0.000000000000000000e+00
2.000000000000000042e-02,-4.926567385155067313e-07,3.762307443366808002e-08,9.412384778261184692e-02,0.000000000000000000e+00
4.000000000000000083e-02,-1.893259423013660125e-06,-1.426011237981583690e-07,9.508067369461059570e-02,0.000000000000000000e+00
5.999999999999999778e-02,-3.702801450344850309e-06,-5.567266043726704083e-07,9.719397127628326416e-02,0.000000000000000000e+00
8.000000000000000167e-02,-6.777293492632452399e-06,-4.415580860950285569e-06,1.025142446160316467e-01,0.000000000000000000e+00
1.000000000000000056e-01,-1.393589809595141560e-05,-1.678467378951609135e-05,1.126872077584266663e-01,0.000000000000000000e+00
1.199999999999999956e-01,-3.061518145841546357e-05,-4.467696999199688435e-05,1.288120150566101074e-01,0.000000000000000000e+00
1.400000000000000133e-01,-6.521125033032149076e-05,-9.665833204053342342e-05,1.515489965677261353e-01,0.000000000000000000e+00
1.600000000000000033e-01,-1.283839374082162976e-04,-1.818365417420864105e-04,1.810859888792037964e-01,0.000000000000000000e+00
1.799999999999999933e-01,-2.300591877428814769e-04,-3.063039621338248253e-04,2.167161554098129272e-01,0.000000000000000000e+00
2.000000000000000111e-01,-3.765949513763189316e-04,-4.706366453319787979e-04,2.569063007831573486e-01,0.000000000000000000e+00
2.200000000000000011e-01,-5.716280429624021053e-04,-6.719919038005173206e-04,3.000596463680267334e-01,0.000000000000000000e+00
2.399999999999999911e-01,-8.167728665284812450e-04,-9.057967108674347401e-04,3.448147773742675781e-01,0.000000000000000000e+00
2.600000000000000089e-01,-1.113675534725189209e-03,-1.167038688436150551e-03,3.901900053024291992e-01,0.000000000000000000e+00
2.800000000000000266e-01,-1.465789973735809326e-03,-1.450913026928901672e-03,4.355916976928710938e-01,0.000000000000000000e+00
2.999999999999999889e-01,-1.878740964457392693e-03,-1.752676325850188732e-03,4.806900620460510254e-01,0.000000000000000000e+00
3.200000000000000067e-01,-2.361802617087960243e-03,-2.067419467493891716e-03,5.253939628601074219e-01,0.000000000000000000e+00
3.400000000000000244e-01,-2.928060712292790413e-03,-2.389249159023165703e-03,5.697702169418334961e-01,0.000000000000000000e+00
