time_s,north_m,east_m,altitude_m,phase
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.377412497997283936e-02,0.000000000000000000e+00
2.000000000000000042e-02,1.885034528470441728e-08,6.363826798860827694e-09,9.388944506645202637e-02,0.000000000000000000e+00
4.000000000000000083e-02,6.965296961425337940e-08,-2.117769497544941260e-07,9.419363737106323242e-02,0.000000000000000000e+00
5.999999999999999778e-02,-6.094421678426442668e-07,6.030067652318393812e-06,9.450962394475936890e-02,0.000000000000000000e+00
8.000000000000000167e-02,-5.464978869440528797e-08,-1.378760316583793610e-06,9.496644139289855957e-02,0.000000000000000000e+00
1.000000000000000056e-01,1.014472786664555315e-06,-2.807602868415415287e-06,9.478814154863357544e-02,0.000000000000000000e+00
1.199999999999999956e-01,1.462890168113517575e-06,-2.644618689373601228e-06,9.483661502599716187e-02,0.000000000000000000e+00
1.400000000000000133e-01,1.532849864815943874e-06,-1.446521082471008413e-06,9.525892883539199829e-02,0.000000000000000000e+00
1.600000000000000033e-01,1.638338972043129615e-06,-1.018056309476378374e-06,9.556958824396133423e-02,0.000000000000000000e+00
1.799999999999999933e-01,1.831857503020728473e-06,-1.424933998350752518e-06,9.588406980037689209e-02,0.000000000000000000e+00
2.000000000000000111e-01,2.201794586653704755e-06,-3.135149427180294879e-06,9.628198295831680298e-02,0.000000000000000000e+00
2.200000000000000011e-01,2.865762098736013286e-06,-6.637698334088781849e-06,9.681513905525207520e-02,0.000000000000000000e+00
2.399999999999999911e-01,3.968474629800766706e-06,-1.243144106410909444e-05,9.751766920089721680e-02,0.000000000000000000e+00
2.600000000000000089e-01,5.683542440237943083e-06,-2.101558675349224359e-05,9.841121733188629150e-02,0.000000000000000000e+00
2.800000000000000266e-01,8.214909939852077514e-06,-3.288354855612851679e-05,9.950865805149078369e-02,0.000000000000000000e+00
2.999999999999999889e-01,1.179571427201153710e-05,-4.851996345678344369e-05,1.008163914084434509e-01,0.000000000000000000e+00
3.200000000000000067e-01,1.668538789090234786e-05,-6.840314017608761787e-05,1.023385897278785706e-01,0.000000000000000000e+00
3.400000000000000244e-01,2.316912650712765753e-05,-9.300477540818974376e-05,1.040786728262901306e-01,0.000000000000000000e+00
3.599999999999999867e-01,3.156013917759992182e-05,-1.227852480951696634e-04,1.060383394360542297e-01,0.000000000000000000e+00
3.800000000000000044e-01,4.220101254759356380e-05,-1.581900869496166706e-04,1.082172989845275879e-01,0.000000000000000000e+00
4.000000000000000222e-01,5.546244210563600063e-05,-1.996490464080125093e-04,1.106135547161102295e-01,0.000000000000000000e+00
4.199999999999999845e-01,7.174146594479680061e-05,-2.475806977599859238e-04,1.132258400321006775e-01,0.000000000000000000e+00
4.400000000000000022e-01,9.146079537458717823e-05,-3.023929020855575800e-04,1.160539165139198303e-01,0.000000000000000000e+00
4.600000000000000200e-01,1.150696552940644324e-04,-3.644785319920629263e-04,1.190971657633781433e-01,0.000000000000000000e+00
4.799999999999999822e-01,1.430444099241867661e-04,-4.342127358540892601e-04,1.223538070917129517e-01,0.000000000000000000e+00
5.000000000000000000e-01,1.758871221682056785e-04,-5.119526758790016174e-04,1.258209794759750366e-01,0.000000000000000000e+00
5.200000000000000178e-01,2.141242730431258678e-04,-5.980429705232381821e-04,1.294965744018554688e-01,0.000000000000000000e+00
5.400000000000000355e-01,2.583059540484100580e-04,-6.928168586455285549e-04,1.333797276020050049e-01,0.000000000000000000e+00
5.600000000000000533e-01,3.090054669883102179e-04,-7.965916302055120468e-04,1.374694257974624634e-01,0.000000000000000000e+00
5.799999999999999600e-01,3.668190329335629940e-04,-9.096645517274737358e-04,1.417636871337890625e-01,0.000000000000000000e+00
5.999999999999999778e-01,4.323638568166643381e-04,-1.032312517054378986e-03,1.462596654891967773e-01,0.000000000000000000e+00
6.199999999999999956e-01,5.062779528088867664e-04,-1.164798042736947536e-03,1.509552299976348877e-01,0.000000000000000000e+00
6.400000000000000133e-01,5.892196786589920521e-04,-1.307370606809854507e-03,1.558495610952377319e-01,0.000000000000000000e+00
6.600000000000000311e-01,6.818663678131997585e-04,-1.460262574255466461e-03,1.609416455030441284e-01,0.000000000000000000e+00
6.800000000000000488e-01,7.849130197428166866e-04,-1.623686170205473900e-03,1.662294566631317139e-01,0.000000000000000000e+00
7.000000000000000666e-01,8.990699425339698792e-04,-1.797834178432822227e-03,1.717099398374557495e-01,0.000000000000000000e+00
7.199999999999999734e-01,1.025064266286790371e-03,-1.982887042686343193e-03,1.773808896541595459e-01,0.000000000000000000e+00
7.399999999999999911e-01,1.163639593869447708e-03,-2.179015660658478737e-03,1.832415163516998291e-01,0.000000000000000000e+00
7.600000000000000089e-01,1.315552857704460621e-03,-2.386375796049833298e-03,1.892908662557601929e-01,0.000000000000000000e+00
7.800000000000000266e-01,1.481572631746530533e-03,-2.605105517432093620e-03,1.955270022153854370e-01,0.000000000000000000e+00
8.000000000000000444e-01,1.662476570345461369e-03,-2.835325198248028755e-03,2.019470781087875366e-01,0.000000000000000000e+00
8.200000000000000622e-01,1.859054318629205227e-03,-3.077144501730799675e-03,2.085489928722381592e-01,0.000000000000000000e+00
8.399999999999999689e-01,2.072108443826436996e-03,-3.330663545057177544e-03,2.153319120407104492e-01,0.000000000000000000e+00
8.599999999999999867e-01,2.302450127899646759e-03,-3.595970105379819870e-03,2.222949415445327759e-01,0.000000000000000000e+00
8.800000000000000044e-01,2.550895558670163155e-03,-3.873134497553110123e-03,2.294362038373947144e-01,0.000000000000000000e+00
9.000000000000000222e-01,2.818264765664935112e-03,-4.162209574133157730e-03,2.367528527975082397e-01,0.000000000000000000e+00
9.200000000000000400e-01,3.105386160314083099e-03,-4.463239572942256927e-03,2.442428469657897949e-01,0.000000000000000000e+00
9.400000000000000577e-01,3.413097467273473740e-03,-4.776260815560817719e-03,2.519053816795349121e-01,0.000000000000000000e+00
9.599999999999999645e-01,3.742238972336053848e-03,-5.101297516375780106e-03,2.597395777702331543e-01,0.000000000000000000e+00
9.799999999999999822e-01,4.093652125447988510e-03,-5.438355728983879089e-03,2.677436470985412598e-01,0.000000000000000000e+00
1.000000000000000000e+00,4.468175116926431656e-03,-5.787426605820655823e-03,2.759147584438323975e-01,0.000000000000000000e+00
1.020000000000000018e+00,4.866651725023984909e-03,-6.148491054773330688e-03,2.842511534690856934e-01,0.000000000000000000e+00
1.040000000000000036e+00,5.289931781589984894e-03,-6.521523464471101761e-03,2.927522957324981689e-01,0.000000000000000000e+00
1.060000000000000053e+00,5.738862324506044388e-03,-6.906487513333559036e-03,3.014172911643981934e-01,0.000000000000000000e+00
1.080000000000000071e+00,6.214286200702190399e-03,-7.303332444280385971e-03,3.102444410324096680e-01,0.000000000000000000e+00
1.100000000000000089e+00,6.717036943882703781e-03,-7.711995858699083328e-03,3.192308545112609863e-01,0.000000000000000000e+00
1.120000000000000107e+00,7.247947156429290771e-03,-8.132410235702991486e-03,3.283742666244506836e-01,0.000000000000000000e+00
1.140000000000000124e+00,7.807852234691381454e-03,-8.564504794776439667e-03,3.376737534999847412e-01,0.000000000000000000e+00
1.159999999999999920e+00,8.397581987082958221e-03,-9.008198045194149017e-03,3.471284508705139160e-01,0.000000000000000000e+00
1.179999999999999938e+00,9.017954580485820770e-03,-9.463397786021232605e-03,3.567365705966949463e-01,0.000000000000000000e+00
1.199999999999999956e+00,9.669772349298000336e-03,-9.929994121193885803e-03,3.664955496788024902e-01,0.000000000000000000e+00
1.219999999999999973e+00,1.035383902490139008e-02,-1.040786784142255783e-02,3.764036893844604492e-01,0.000000000000000000e+00
1.239999999999999991e+00,1.107093133032321930e-02,-1.089688204228878021e-02,3.864580392837524414e-01,0.000000000000000000e+00
1.260000000000000009e+00,1.182179991155862808e-02,-1.139688026160001755e-02,3.966535031795501709e-01,0.000000000000000000e+00
1.280000000000000027e+00,1.260718330740928650e-02,-1.190767996013164520e-02,4.069845378398895264e-01,0.000000000000000000e+00
1.300000000000000044e+00,1.342781446874141693e-02,-1.242907252162694931e-02,4.174461662769317627e-01,0.000000000000000000e+00
1.320000000000000062e+00,1.428443752229213715e-02,-1.296081952750682831e-02,4.280351400375366211e-01,0.000000000000000000e+00
1.340000000000000080e+00,1.517781149595975876e-02,-1.350264623761177063e-02,4.387495815753936768e-01,0.000000000000000000e+00
1.360000000000000098e+00,1.610869728028774261e-02,-1.405423693358898163e-02,4.495882987976074219e-01,0.000000000000000000e+00
1.380000000000000115e+00,1.707785204052925110e-02,-1.461523119360208511e-02,4.605498611927032471e-01,0.000000000000000000e+00
1.400000000000000133e+00,1.808603294193744659e-02,-1.518522016704082489e-02,4.716324210166931152e-01,0.000000000000000000e+00
1.419999999999999929e+00,1.913399808108806610e-02,-1.576375216245651245e-02,4.828345775604248047e-01,0.000000000000000000e+00
1.439999999999999947e+00,2.022250369191169739e-02,-1.635033078491687775e-02,4.941554665565490723e-01,0.000000000000000000e+00
1.459999999999999964e+00,2.135230228304862976e-02,-1.694440841674804688e-02,5.055940747261047363e-01,0.000000000000000000e+00
1.479999999999999982e+00,2.252413891255855560e-02,-1.754540205001831055e-02,5.171490907669067383e-01,0.000000000000000000e+00
1.500000000000000000e+00,2.373874187469482422e-02,-1.815267466008663177e-02,5.288187265396118164e-01,0.000000000000000000e+00
1.520000000000000018e+00,2.499683946371078491e-02,-1.876555383205413818e-02,5.406016111373901367e-01,0.000000000000000000e+00
1.540000000000000036e+00,2.629915624856948853e-02,-1.938332244753837585e-02,5.524969100952148438e-01,0.000000000000000000e+00
1.560000000000000053e+00,2.764640748500823975e-02,-2.000522054731845856e-02,5.645036697387695312e-01,0.000000000000000000e+00
1.580000000000000071e+00,2.903929352760314941e-02,-2.063045650720596313e-02,5.766205191612243652e-01,0.000000000000000000e+00
1.600000000000000089e+00,3.047850541770458221e-02,-2.125818841159343719e-02,5.888457894325256348e-01,0.000000000000000000e+00
1.620000000000000107e+00,3.196471557021141052e-02,-2.188754081726074219e-02,6.011781096458435059e-01,0.000000000000000000e+00
1.640000000000000124e+00,3.349859267473220825e-02,-2.251760102808475494e-02,6.136167049407958984e-01,0.000000000000000000e+00
1.660000000000000142e+00,3.508080169558525085e-02,-2.314742095768451691e-02,6.261604428291320801e-01,0.000000000000000000e+00
1.679999999999999938e+00,3.671197593212127686e-02,-2.377600967884063721e-02,6.388082504272460938e-01,0.000000000000000000e+00
1.699999999999999956e+00,3.839273750782012939e-02,-2.440234646201133728e-02,6.515585184097290039e-01,0.000000000000000000e+00
