time_s,north_m,east_m,altitude_m,phase
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.377412497997283936e-02,0.000000000000000000e+00
2.000000000000000042e-02,-1.507060574112983886e-07,1.640255931079082075e-08,9.412455558776855469e-02,0.000000000000000000e+00
4.000000000000000083e-02,-5.193875836084771436e-07,-1.613162936564549454e-07,9.507722407579421997e-02,0.000000000000000000e+00
5.999999999999999778e-02,-9.884080327537958510e-07,-7.395314014502218924e-07,9.719233959913253784e-02,0.000000000000000000e+00
8.000000000000000167e-02,-1.825690560508519411e-06,-3.440183263592189178e-06,1.025496497750282288e-01,0.000000000000000000e+00
1.000000000000000056e-01,-3.855339400615775958e-06,-1.108728793042246252e-05,1.128089353442192078e-01,0.000000000000000000e+00
1.199999999999999956e-01,-8.663128028274513781e-06,-2.736414171522483230e-05,1.290786713361740112e-01,0.000000000000000000e+00
1.400000000000000133e-01,-1.870149935712106526e-05,-5.658615555148571730e-05,1.520402580499649048e-01,0.000000000000000000e+00
1.600000000000000033e-01,-3.707128780661150813e-05,-1.030284620355814695e-04,1.818339675664901733e-01,0.000000000000000000e+00
1.799999999999999933e-01,-6.664853572146967053e-05,-1.689038763288408518e-04,2.175595462322235107e-01,0.000000000000000000e+00
2.000000000000000111e-01,-1.093647588277235627e-04,-2.535354869905859232e-04,2.574515044689178467e-01,0.000000000000000000e+00
2.200000000000000011e-01,-1.666165480855852365e-04,-3.553830320015549660e-04,2.997896671295166016e-01,0.000000000000000000e+00
2.399999999999999911e-01,-2.395380870439112186e-04,-4.727535997517406940e-04,3.432260751724243164e-01,0.000000000000000000e+00
2.600000000000000089e-01,-3.298491647001355886e-04,-6.039089057594537735e-04,3.869074881076812744e-01,0.000000000000000000e+00
2.800000000000000266e-01,-4.401592595968395472e-04,-7.471138378605246544e-04,4.303447604179382324e-01,0.000000000000000000e+00
2.999999999999999889e-01,-5.742845823988318443e-04,-9.006198961287736893e-04,4.733062684535980225e-01,0.000000000000000000e+00
3.200000000000000067e-01,-7.377712172456085682e-04,-1.062452560290694237e-03,5.157625675201416016e-01,0.000000000000000000e+00
3.400000000000000244e-01,-9.379243128933012486e-04,-1.229933463037014008e-03,5.577933192253112793e-01,0.000000000000000000e+00
3.599999999999999867e-01,-1.183366752229630947e-03,-1.399278407916426659e-03,5.994954109191894531e-01,0.000000000000000000e+00
3.800000000000000044e-01,-1.483599538914859295e-03,-1.565485959872603416e-03,6.409413814544677734e-01,0.000000000000000000e+00
4.000000000000000222e-01,-1.849181717261672020e-03,-1.722326618619263172e-03,6.821966171264648438e-01,0.000000000000000000e+00
4.199999999999999845e-01,-2.292219782248139381e-03,-1.862241188064217567e-03,7.233465313911437988e-01,0.000000000000000000e+00
4.400000000000000022e-01,-2.825088100507855415e-03,-1.976658822968602180e-03,7.644363045692443848e-01,0.000000000000000000e+00
4.600000000000000200e-01,-3.459888976067304611e-03,-2.056308090686798096e-03,8.054631948471069336e-01,0.000000000000000000e+00
4.799999999999999822e-01,-4.209036938846111298e-03,-2.091182861477136612e-03,8.464151024818420410e-01,0.000000000000000000e+00
5.000000000000000000e-01,-5.086078774183988571e-03,-2.070245100185275078e-03,8.873003125190734863e-01,0.000000000000000000e+00
5.200000000000000178e-01,-6.106251850724220276e-03,-1.981135923415422440e-03,9.281585216522216797e-01,0.000000000000000000e+00
5.400000000000000355e-01,-7.284694351255893707e-03,-1.811033464036881924e-03,9.690104722976684570e-01,0.000000000000000000e+00
5.600000000000000533e-01,-8.635542355477809906e-03,-1.547208055853843689e-03,1.009842038154602051e+00,1.000000000000000000e+00
5.799999999999999600e-01,-1.017128583043813705e-02,-1.177564729005098343e-03,1.050600886344909668e+00,1.000000000000000000e+00
5.999999999999999778e-01,-1.190558541566133499e-02,-6.892852834425866604e-04,1.091258883476257324e+00,1.000000000000000000e+00
6.199999999999999956e-01,-1.385181676596403122e-02,-7.015018491074442863e-05,1.131783843040466309e+00,1.000000000000000000e+00
6.400000000000000133e-01,-1.602329686284065247e-02,6.912451935932040215e-04,1.172143578529357910e+00,1.000000000000000000e+00
6.600000000000000311e-01,-1.843687891960144043e-02,1.607540179975330830e-03,1.212366700172424316e+00,1.000000000000000000e+00
6.800000000000000488e-01,-2.111856825649738312e-02,2.695869654417037964e-03,1.252617478370666504e+00,1.000000000000000000e+00
7.000000000000000666e-01,-2.409124746918678284e-02,3.969742916524410248e-03,1.293009757995605469e+00,1.000000000000000000e+00
7.199999999999999734e-01,-2.736819908022880554e-02,5.435169674456119537e-03,1.333531260490417480e+00,1.000000000000000000e+00
7.399999999999999911e-01,-3.095806203782558441e-02,7.094004657119512558e-03,1.374125599861145020e+00,1.000000000000000000e+00
7.600000000000000089e-01,-3.487079218029975891e-02,8.947848342359066010e-03,1.414772748947143555e+00,1.000000000000000000e+00
7.800000000000000266e-01,-3.911808878183364868e-02,1.099836174398660660e-02,1.455492138862609863e+00,1.000000000000000000e+00
8.000000000000000444e-01,-4.371114447712898254e-02,1.324596256017684937e-02,1.496315240859985352e+00,1.000000000000000000e+00
8.200000000000000622e-01,-4.865401238203048706e-02,1.568625308573246002e-02,1.537208557128906250e+00,1.000000000000000000e+00
8.399999999999999689e-01,-5.394736304879188538e-02,1.831242442131042480e-02,1.578118920326232910e+00,1.000000000000000000e+00
