time_s,north_m,east_m,altitude_m,phase
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.377412497997283936e-02,0.000000000000000000e+00
2.000000000000000042e-02,1.596743004483869299e-07,3.641447676727693761e-08,9.411802142858505249e-02,0.000000000000000000e+00
4.000000000000000083e-02,1.574169630202959524e-07,-9.176162052426661830e-08,9.507062286138534546e-02,0.000000000000000000e+00
5.999999999999999778e-02,6.496271964806510368e-08,-4.840432552555284929e-07,9.718368947505950928e-02,0.000000000000000000e+00
8.000000000000000167e-02,-7.782647770682160626e-08,-4.293273377697914839e-06,1.025388985872268677e-01,0.000000000000000000e+00
1.000000000000000056e-01,-5.869426331628346816e-07,-1.603197961230762303e-05,1.128248646855354309e-01,0.000000000000000000e+00
1.199999999999999956e-01,-2.338356352993287146e-06,-4.149673623032867908e-05,1.291764676570892334e-01,0.000000000000000000e+00
1.400000000000000133e-01,-6.984355877648340538e-06,-8.724704093765467405e-05,1.522627323865890503e-01,0.000000000000000000e+00
1.600000000000000033e-01,-1.659329063841141760e-05,-1.588099694345146418e-04,1.818859279155731201e-01,0.000000000000000000e+00
1.799999999999999933e-01,-3.246321648475714028e-05,-2.587035996839404106e-04,2.166994214057922363e-01,0.000000000000000000e+00
2.000000000000000111e-01,-5.433355181594379246e-05,-3.871583903674036264e-04,2.549377381801605225e-01,0.000000000000000000e+00
2.200000000000000011e-01,-8.065309521043673158e-05,-5.441429093480110168e-04,2.951754331588745117e-01,0.000000000000000000e+00
2.399999999999999911e-01,-1.089877478079870343e-04,-7.304799510166049004e-04,3.364628553390502930e-01,0.000000000000000000e+00
2.600000000000000089e-01,-1.360878959530964494e-04,-9.480616427026689053e-04,3.782001137733459473e-01,0.000000000000000000e+00
2.800000000000000266e-01,-1.577985967742279172e-04,-1.199876307509839535e-03,4.200218915939331055e-01,0.000000000000000000e+00
2.999999999999999889e-01,-1.687040348770096898e-04,-1.490556867793202400e-03,4.617844820022583008e-01,0.000000000000000000e+00
3.200000000000000067e-01,-1.619201648281887174e-04,-1.825032639317214489e-03,5.034282207489013672e-01,0.000000000000000000e+00
3.400000000000000244e-01,-1.288007042603567243e-04,-2.208236139267683029e-03,5.449505448341369629e-01,0.000000000000000000e+00
3.599999999999999867e-01,-5.885773862246423960e-05,-2.644975669682025909e-03,5.863831043243408203e-01,0.000000000000000000e+00
3.800000000000000044e-01,5.982060974929481745e-05,-3.139321459457278252e-03,6.277437806129455566e-01,0.000000000000000000e+00
4.000000000000000222e-01,2.406319545116275549e-04,-3.694812534376978874e-03,6.690512895584106445e-01,0.000000000000000000e+00
4.199999999999999845e-01,4.983895341865718365e-04,-4.314521327614784241e-03,7.103295922279357910e-01,0.000000000000000000e+00
4.400000000000000022e-01,8.487330051138997078e-04,-5.000669974833726883e-03,7.515843510627746582e-01,0.000000000000000000e+00
4.600000000000000200e-01,1.307969912886619568e-03,-5.754694808274507523e-03,7.928066253662109375e-01,0.000000000000000000e+00
4.799999999999999822e-01,1.893194974400103092e-03,-6.577465683221817017e-03,8.339850902557373047e-01,0.000000000000000000e+00
5.000000000000000000e-01,2.623059786856174469e-03,-7.469734642654657364e-03,8.751299381256103516e-01,0.000000000000000000e+00
5.200000000000000178e-01,3.517689183354377747e-03,-8.432070724666118622e-03,9.162677526473999023e-01,0.000000000000000000e+00
5.400000000000000355e-01,4.597672726958990097e-03,-9.464432485401630402e-03,9.574167728424072266e-01,0.000000000000000000e+00
5.600000000000000533e-01,5.882931407541036606e-03,-1.056587696075439453e-02,9.985691905021667480e-01,0.000000000000000000e+00
5.799999999999999600e-01,7.392891217023134232e-03,-1.173477340489625931e-02,1.039702177047729492e+00,1.000000000000000000e+00
5.999999999999999778e-01,9.145454503595829010e-03,-1.296868547797203064e-02,1.080766916275024414e+00,1.000000000000000000e+00
6.199999999999999956e-01,1.115955132991075516e-02,-1.426521688699722290e-02,1.121735930442810059e+00,1.000000000000000000e+00
6.400000000000000133e-01,1.345741935074329376e-02,-1.562262699007987976e-02,1.162637829780578613e+00,1.000000000000000000e+00
6.600000000000000311e-01,1.606300473213195801e-02,-1.703949086368083954e-02,1.203534722328186035e+00,1.000000000000000000e+00
6.800000000000000488e-01,1.899588480591773987e-02,-1.851367205381393433e-02,1.244451522827148438e+00,1.000000000000000000e+00
7.000000000000000666e-01,2.227193117141723633e-02,-2.004266716539859772e-02,1.285392761230468750e+00,1.000000000000000000e+00
7.199999999999999734e-01,2.589908987283706665e-02,-2.162322402000427246e-02,1.326304554939270020e+00,1.000000000000000000e+00
7.399999999999999911e-01,2.988131344318389893e-02,-2.325263805687427521e-02,1.367126107215881348e+00,1.000000000000000000e+00
7.600000000000000089e-01,3.422298282384872437e-02,-2.492943964898586273e-02,1.407839536666870117e+00,1.000000000000000000e+00
7.800000000000000266e-01,3.892865404486656189e-02,-2.665277570486068726e-02,1.448463201522827148e+00,1.000000000000000000e+00
8.000000000000000444e-01,4.399708658456802368e-02,-2.842152863740921021e-02,1.488986253738403320e+00,1.000000000000000000e+00
8.200000000000000622e-01,4.942250996828079224e-02,-3.023451007902622223e-02,1.529381632804870605e+00,1.000000000000000000e+00
8.399999999999999689e-01,5.520426854491233826e-02,-3.209166601300239563e-02,1.569705009460449219e+00,1.000000000000000000e+00
8.599999999999999867e-01,6.133650243282318115e-02,-3.399278968572616577e-02,1.609983921051025391e+00,1.000000000000000000e+00
8.800000000000000044e-01,6.780739128589630127e-02,-3.593742102384567261e-02,1.650204896926879883e+00,1.000000000000000000e+00
9.000000000000000222e-01,7.460879534482955933e-02,-3.792608529329299927e-02,1.690418362617492676e+00,1.000000000000000000e+00
9.200000000000000400e-01,8.172851800918579102e-02,-3.995927423238754272e-02,1.730650901794433594e+00,1.000000000000000000e+00
9.400000000000000577e-01,8.914741128683090210e-02,-4.203698039054870605e-02,1.770865082740783691e+00,1.000000000000000000e+00
9.599999999999999645e-01,9.684488922357559204e-02,-4.415941238403320312e-02,1.811019301414489746e+00,1.000000000000000000e+00
9.799999999999999822e-01,1.047995537519454956e-01,-4.632706940174102783e-02,1.851070404052734375e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.129926294088363647e-01,-4.854134842753410339e-02,1.891022920608520508e+00,1.000000000000000000e+00
1.020000000000000018e+00,1.214092746376991272e-01,-5.080494657158851624e-02,1.930957078933715820e+00,1.000000000000000000e+00
1.040000000000000036e+00,1.300307810306549072e-01,-5.312036350369453430e-02,1.970910906791687012e+00,1.000000000000000000e+00
1.060000000000000053e+00,1.388356238603591919e-01,-5.548997968435287476e-02,2.010886907577514648e+00,1.000000000000000000e+00
1.080000000000000071e+00,1.478012055158615112e-01,-5.791623517870903015e-02,2.050869941711425781e+00,1.000000000000000000e+00
1.100000000000000089e+00,1.569045335054397583e-01,-6.040170416235923767e-02,2.090836048126220703e+00,1.000000000000000000e+00
1.120000000000000107e+00,1.661241203546524048e-01,-6.294975429773330688e-02,2.130797147750854492e+00,1.000000000000000000e+00
1.140000000000000124e+00,1.754390001296997070e-01,-6.556428968906402588e-02,2.170783996582031250e+00,1.000000000000000000e+00
1.159999999999999920e+00,1.848282665014266968e-01,-6.824960559606552124e-02,2.210834026336669922e+00,1.000000000000000000e+00
1.179999999999999938e+00,1.942711025476455688e-01,-7.101030647754669189e-02,2.250989198684692383e+00,1.000000000000000000e+00
1.199999999999999956e+00,2.037466913461685181e-01,-7.385130226612091064e-02,2.291298151016235352e+00,1.000000000000000000e+00
1.219999999999999973e+00,2.132337838411331177e-01,-7.677677273750305176e-02,2.331768035888671875e+00,1.000000000000000000e+00
1.239999999999999991e+00,2.227112203836441040e-01,-7.978986948728561401e-02,2.372360944747924805e+00,1.000000000000000000e+00
1.260000000000000009e+00,2.321588099002838135e-01,-8.289291709661483765e-02,2.413006544113159180e+00,1.000000000000000000e+00
1.280000000000000027e+00,2.415574640035629272e-01,-8.608870208263397217e-02,2.453660011291503906e+00,1.000000000000000000e+00
1.300000000000000044e+00,2.508888244628906250e-01,-8.938115090131759644e-02,2.494327545166015625e+00,1.000000000000000000e+00
1.320000000000000062e+00,2.601352632045745850e-01,-9.277386963367462158e-02,2.535007715225219727e+00,1.000000000000000000e+00
1.340000000000000080e+00,2.692790329456329346e-01,-9.627136588096618652e-02,2.575739383697509766e+00,1.000000000000000000e+00
1.360000000000000098e+00,2.783025503158569336e-01,-9.987843781709671021e-02,2.616574525833129883e+00,1.000000000000000000e+00
1.380000000000000115e+00,2.871895432472229004e-01,-1.035987287759780884e-01,2.657528162002563477e+00,1.000000000000000000e+00
1.400000000000000133e+00,2.959261536598205566e-01,-1.074337735772132874e-01,2.698549032211303711e+00,1.000000000000000000e+00
1.419999999999999929e+00,3.044993281364440918e-01,-1.113851517438888550e-01,2.739596843719482422e+00,1.000000000000000000e+00
1.439999999999999947e+00,3.128948509693145752e-01,-1.154560819268226624e-01,2.780694246292114258e+00,1.000000000000000000e+00
1.459999999999999964e+00,3.210994005203247070e-01,-1.196492537856101990e-01,2.821854829788208008e+00,1.000000000000000000e+00
1.479999999999999982e+00,3.291020095348358154e-01,-1.239659637212753296e-01,2.863054275512695312e+00,1.000000000000000000e+00
1.500000000000000000e+00,3.368925452232360840e-01,-1.284072250127792358e-01,2.904268026351928711e+00,1.000000000000000000e+00
1.520000000000000018e+00,3.444609642028808594e-01,-1.329743713140487671e-01,2.945490360260009766e+00,1.000000000000000000e+00
1.540000000000000036e+00,3.517969250679016113e-01,-1.376691162586212158e-01,2.986735343933105469e+00,1.000000000000000000e+00
1.560000000000000053e+00,3.588889241218566895e-01,-1.424939930438995361e-01,3.028051614761352539e+00,1.000000000000000000e+00
1.580000000000000071e+00,3.657276928424835205e-01,-1.474502831697463989e-01,3.069459199905395508e+00,1.000000000000000000e+00
1.600000000000000089e+00,3.723075389862060547e-01,-1.525372117757797241e-01,3.110925674438476562e+00,1.000000000000000000e+00
1.620000000000000107e+00,3.786240816116333008e-01,-1.577533632516860962e-01,3.152413845062255859e+00,1.000000000000000000e+00
